dataset,estimator,cost_type,n_samples,method,validity,cost,plausibility,sparsity,time,time per samples
German,XGBoost,std,20,FOCUS (0.1),0.75,0.9755066440751156,0.5076016992142037,2.0666666666666664,126.67302107810974,6.333651053905487
German,XGBoost,std,20,FT++,1.0,0.5949103386938365,0.5331403848468211,1.2,0.4862236976623535,0.0243111848831176
German,XGBoost,std,20,FT,1.0,0.4232244019328181,0.5072012159524761,1.0,0.1256220340728759,0.0062811017036437
German,XGBoost,std,20,OAE,1.0,0.2085416680610171,0.4991475303976462,1.1,558.3817226886749,27.919086134433748
German,XGBoost,std,20,FOCUS (0.001),0.95,5.963627159837511,0.544235418084505,5.63157894736842,114.30911993980408,5.715455996990204
German,XGBoost,std,20,FOCUS (0.01),0.95,4.14869269164659,0.5244598402668701,4.2105263157894735,114.28201794624329,5.714100897312164
German,XGBoost,std,20,FOCUS (0.1),0.75,1.2078109240547443,0.4992012133275665,2.266666666666667,115.00084519386292,5.750042259693146
German,XGBoost,std,20,FT++,1.0,0.4232244019328181,0.5025467467601892,1.0,0.4198620319366455,0.0209931015968322
German,XGBoost,std,20,FT,1.0,0.3889096025058502,0.4940438499464608,1.05,0.1349198818206787,0.0067459940910339
German,XGBoost,std,20,OAE,1.0,0.0999160410446317,0.4958182278569949,1.1,224.6034150123596,11.23017075061798
German,XGBoost,std,20,FOCUS (0.001),1.0,5.430834806701751,0.5569488837340002,6.3,118.38072276115416,5.919036138057709
German,XGBoost,std,20,FOCUS (0.01),1.0,3.0118980666040445,0.5084358876506583,4.1,118.851646900177,5.94258234500885
German,XGBoost,std,20,FOCUS (0.1),0.85,0.9876393508816632,0.4972131777093626,2.235294117647059,118.5712571144104,5.92856285572052
German,XGBoost,std,20,FT++,1.0,0.3889096025058502,0.4924332206986729,1.05,0.4462289810180664,0.0223114490509033
COMPAS,XGBoost,std,20,FT,1.0,0.532208285637146,0.4436827949778745,1.05,0.1976361274719238,0.0098818063735961
COMPAS,XGBoost,std,20,OAE,1.0,0.4063464935880791,0.4378085867566817,1.25,102.32134795188904,5.116067397594452
COMPAS,XGBoost,std,20,FOCUS (0.001),1.0,5.256823155283928,0.4804900920240384,3.2,152.91445398330688,7.645722699165344
COMPAS,XGBoost,std,20,FOCUS (0.01),1.0,4.05682989358902,0.476630856884556,2.75,152.89856886863708,7.644928443431854
COMPAS,XGBoost,std,20,FOCUS (0.1),0.9,0.9448315194911427,0.4437287536216425,1.6666666666666667,153.62275505065918,7.681137752532959
COMPAS,XGBoost,std,20,FT++,1.0,0.532208285637146,0.4383445482266517,1.05,0.5632021427154541,0.0281601071357727
COMPAS,XGBoost,std,20,FT,1.0,0.5122258557037532,0.4527560658702895,1.1,0.1699140071868896,0.0084957003593444
COMPAS,XGBoost,std,20,OAE,1.0,0.3929324415477512,0.4591174897755731,1.3,103.46224617958067,5.173112308979034
COMPAS,XGBoost,std,20,FOCUS (0.001),0.95,10.913356156725632,0.5512237574727941,3.6842105263157894,151.05585479736328,7.552792739868164
COMPAS,XGBoost,std,20,FOCUS (0.01),0.95,7.652246647759488,0.5302593201958041,3.3157894736842106,151.3740828037262,7.56870414018631
