dataset,estimator,shift_type,cost_type,n_samples,method,parameter,prune_level,merge_level,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,1,1.0,0.62,1.9383353267456338,0.44126612420606653,1.5,0.5864260196685791,0.005864260196685791
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,1,1.0,0.76,2.3096061861982244,0.4427480889801651,1.57,0.5864260196685791,0.005864260196685791
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.43,1.001707112008959,0.43908893125223863,1.22,2.3436028957366943,0.023436028957366944
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.49,1.2268018741814328,0.43939738999211864,1.35,2.3436028957366943,0.023436028957366944
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,2,1.0,0.56,1.5105760052104145,0.44124429392292713,1.4300000000000002,2.3436028957366943,0.023436028957366944
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,2,1.0,0.59,1.870565488838559,0.4445851717196376,1.53,2.3436028957366943,0.023436028957366944
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,2,1.0,0.64,2.2148889209951985,0.4487253368850466,1.6,2.3436028957366943,0.023436028957366944
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,1.0,1,1.0,0.47,0.8001262470524907,0.4584121447768175,1.0699999999999998,0.7291648387908936,0.007291648387908935
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,1.0,2,1.0,0.45,0.7855240510841458,0.4557979106468196,1.08,2.5101311206817627,0.025101311206817627
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,0.5,1,1.0,0.47,0.806720239872151,0.45591312845388177,1.08,0.45137476921081543,0.004513747692108154
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,0.5,2,1.0,0.47,0.800269342992611,0.4594173709301596,1.08,1.8412129878997803,0.018412129878997804
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,1,1.0,0.72,1.9077553259675673,0.4568901676649611,1.48,0.7320787906646729,0.007320787906646729
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,1,1.0,0.76,2.868034340153501,0.46875641285923864,1.53,0.7320787906646729,0.007320787906646729
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,1,1.0,0.89,3.827528358568774,0.4743358583678417,1.54,0.7320787906646729,0.007320787906646729
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,1,1.0,1.0,4.571900326697062,0.4789453313847418,1.63,0.7320787906646729,0.007320787906646729
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,1,0.96,0.96,5.463112630348667,0.4798225915203702,1.65625,0.7320787906646729,0.007320787906646729
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.71,1.7859878381576422,0.4618925899629856,1.51,2.553956985473633,0.02553956985473633
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.87,2.6100968181982607,0.4687842803645453,1.61,2.553956985473633,0.02553956985473633
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,2,1.0,0.89,3.655584587783542,0.47736004812974564,1.59,2.553956985473633,0.02553956985473633
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,2,1.0,0.98,4.383106269693058,0.4839704612215999,1.6800000000000002,2.553956985473633,0.02553956985473633
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,2,1.0,0.97,5.323833947546947,0.49136456051864263,1.77,2.553956985473633,0.02553956985473633
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,1,1.0,0.75,1.9507302751370361,0.4580232901176183,1.46,0.48647189140319824,0.0048647189140319826
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,1,1.0,0.75,2.890871672667485,0.47226726949861464,1.53,0.48647189140319824,0.0048647189140319826
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,1,1.0,0.9,3.8993447883356556,0.47721359876255776,1.5299999999999998,0.48647189140319824,0.0048647189140319826
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,1,0.99,0.99,4.675187150403563,0.4826438068402018,1.6161616161616164,0.48647189140319824,0.0048647189140319826
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,1,0.96,0.96,5.619530291235846,0.4860316657506248,1.6458333333333335,0.48647189140319824,0.0048647189140319826
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.77,1.8246443815434659,0.4620802629336903,1.53,1.8703138828277588,0.018703138828277587
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.86,2.5932812648563344,0.469852247375679,1.59,1.8703138828277588,0.018703138828277587
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,2,1.0,0.94,3.4327222932905705,0.47159836541665917,1.75,1.8703138828277588,0.018703138828277587
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,2,1.0,1.0,4.244434873679856,0.4742200309291865,1.7000000000000002,1.8703138828277588,0.018703138828277587
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,2,1.0,0.98,5.280323709989416,0.4832775954418727,1.81,1.8703138828277588,0.018703138828277587
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,1,1.0,0.5,1.1556514607139143,0.4575358952494083,1.26,0.8775050640106201,0.008775050640106202
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,1,1.0,0.68,1.4880564764056174,0.4548914741778453,1.33,0.8775050640106201,0.008775050640106202
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,1,1.0,0.71,1.760608177633493,0.45519860978667476,1.4100000000000001,0.8775050640106201,0.008775050640106202
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,1,1.0,0.7,2.061109020709223,0.45321243105887904,1.4700000000000002,0.8775050640106201,0.008775050640106202
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,1,1.0,0.67,2.3721590046967425,0.4521861193028391,1.6099999999999999,0.8775050640106201,0.008775050640106202
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.5,1.1486643958124807,0.45773357222519956,1.26,3.0589559078216553,0.030589559078216554
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,2,1.0,0.67,1.4486742607463088,0.45598954181588136,1.35,3.0589559078216553,0.030589559078216554
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,2,1.0,0.71,1.7372088661689364,0.45541086306075784,1.4300000000000002,3.0589559078216553,0.030589559078216554
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,2,1.0,0.71,1.9939713015356144,0.45530733887310426,1.4900000000000002,3.0589559078216553,0.030589559078216554
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,2,1.0,0.69,2.257161926045144,0.4552962964207697,1.65,3.0589559078216553,0.030589559078216554
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,1,1.0,0.5,1.1571765027548309,0.4572901823666749,1.25,0.6502642631530762,0.006502642631530762
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,1,1.0,0.7,1.5105211146405413,0.4536989722247594,1.2800000000000002,0.6502642631530762,0.006502642631530762
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,1,1.0,0.7,1.7778703967196627,0.455971989092885,1.4100000000000001,0.6502642631530762,0.006502642631530762
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,1,1.0,0.7,2.0925930696950643,0.45439062240357553,1.46,0.6502642631530762,0.006502642631530762
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,1,1.0,0.67,2.407714141338741,0.45317061912940276,1.6099999999999999,0.6502642631530762,0.006502642631530762
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.5,1.1474699746429506,0.4532040357442544,1.25,2.1840219497680664,0.021840219497680665
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.7,1.4475722392108572,0.4510957216258481,1.34,2.1840219497680664,0.021840219497680665
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,2,1.0,0.72,1.735633776588765,0.4519125544251354,1.4300000000000002,2.1840219497680664,0.021840219497680665
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,2,1.0,0.72,1.9565697787865515,0.4547131768307824,1.53,2.1840219497680664,0.021840219497680665
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,2,1.0,0.68,2.2451489610262128,0.45590633958331656,1.65,2.1840219497680664,0.021840219497680665
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,1.0,1,1.0,0.48,0.7167932953411534,0.4560991423745424,1.07,0.8167660236358643,0.008167660236358643
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,1.0,2,1.0,0.48,0.7130883468612574,0.45847129581482365,1.07,3.192936897277832,0.03192936897277832
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,0.5,1,1.0,0.5,0.724196954394699,0.46241359492421713,1.05,0.4779179096221924,0.004779179096221924
COMPAS,XGBoost,label,tlps,100,Baseline,0.0,0.5,2,1.0,0.49,0.7199287744383992,0.4606236040657851,1.06,2.1513850688934326,0.021513850688934327
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,1,1.0,0.81,1.9592621007967062,0.4645076195116941,1.4100000000000001,0.8149662017822266,0.008149662017822266
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,1,1.0,0.92,2.88148225547904,0.4683576595764134,1.5100000000000002,0.8149662017822266,0.008149662017822266
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,1,1.0,0.96,3.91375173639983,0.47804083974253636,1.47,0.8149662017822266,0.008149662017822266
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,1,1.0,0.98,4.554687810753504,0.479502729848491,1.53,0.8149662017822266,0.008149662017822266
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,1,0.99,0.95,5.065573218286734,0.4806092478406173,1.4646464646464645,0.8149662017822266,0.008149662017822266
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.79,1.8619568393948072,0.46663947924190147,1.44,3.187208890914917,0.03187208890914917
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.77,2.5659876793455383,0.4739173384162094,1.5899999999999999,3.187208890914917,0.03187208890914917
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,2,1.0,0.9,3.545391884673257,0.48556224325559305,1.6,3.187208890914917,0.03187208890914917
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,2,1.0,0.94,4.29760181497408,0.483269533814185,1.63,3.187208890914917,0.03187208890914917
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,2,1.0,0.98,4.910610244343266,0.48715615190965394,1.53,3.187208890914917,0.03187208890914917
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,1,1.0,0.81,2.2309880300562224,0.459097087075434,1.4300000000000002,0.48064708709716797,0.0048064708709716795
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,1,1.0,0.91,3.0326482472136935,0.46130062599766136,1.47,0.48064708709716797,0.0048064708709716795
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,1,1.0,0.96,4.039249265971424,0.47801427945338537,1.38,0.48064708709716797,0.0048064708709716795
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,1,1.0,0.99,4.714638084231222,0.47923596571807336,1.44,0.48064708709716797,0.0048064708709716795
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,1,0.99,0.97,5.200949151242224,0.4810779559970985,1.4242424242424243,0.48064708709716797,0.0048064708709716795
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.78,1.9563407311065393,0.46601294845028657,1.4700000000000002,2.185163974761963,0.02185163974761963
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.89,2.689314537953938,0.4708329720207372,1.53,2.185163974761963,0.02185163974761963
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,2,1.0,0.92,3.6635957592282455,0.48744204183309603,1.42,2.185163974761963,0.02185163974761963
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,2,1.0,0.99,4.451378869336879,0.4867839088125214,1.45,2.185163974761963,0.02185163974761963
COMPAS,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,2,1.0,0.99,4.9429820592125004,0.49044183138171493,1.46,2.185163974761963,0.02185163974761963
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,1,1.0,0.42,1.067740413728321,0.45960491114904933,1.1700000000000002,0.9791510105133057,0.009791510105133057
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,1,1.0,0.54,1.2716996107906897,0.45661596246908004,1.26,0.9791510105133057,0.009791510105133057
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,1,1.0,0.7,1.7204700042662724,0.4579029958667522,1.39,0.9791510105133057,0.009791510105133057
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,1,1.0,0.79,2.518177616685071,0.4580985952591449,1.5299999999999998,0.9791510105133057,0.009791510105133057
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,1,1.0,0.85,2.9577727566216896,0.4623990307817954,1.65,0.9791510105133057,0.009791510105133057
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.43,1.059160224661812,0.46458613542523397,1.1800000000000002,3.765568971633911,0.03765568971633911
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,2,1.0,0.54,1.2659102951192702,0.46171208756870874,1.27,3.765568971633911,0.03765568971633911
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,2,1.0,0.67,1.5958243457642305,0.4625522438549226,1.4,3.765568971633911,0.03765568971633911
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,2,1.0,0.77,2.1605103970552757,0.4684777383041041,1.55,3.765568971633911,0.03765568971633911
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,2,1.0,0.79,2.5834740749192457,0.47145857502972655,1.67,3.765568971633911,0.03765568971633911
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,1,1.0,0.43,1.0891952228761732,0.4594750467996673,1.1600000000000001,0.5890460014343262,0.005890460014343262
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,1,1.0,0.54,1.2845418610781731,0.4564974943377769,1.26,0.5890460014343262,0.005890460014343262
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,1,1.0,0.72,1.9884071384941384,0.4545678194253662,1.39,0.5890460014343262,0.005890460014343262
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,1,1.0,0.81,2.6112466187206747,0.4540431708373662,1.52,0.5890460014343262,0.005890460014343262
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,1,1.0,0.86,3.134898858890416,0.45915792422259594,1.62,0.5890460014343262,0.005890460014343262
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.44,1.0768513091690475,0.4615954243155672,1.1800000000000002,2.5326027870178223,0.025326027870178222
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.54,1.2619836640162245,0.45964937335431194,1.25,2.5326027870178223,0.025326027870178222
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,2,1.0,0.68,1.72757593305874,0.4613996506072768,1.41,2.5326027870178223,0.025326027870178222
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,2,1.0,0.78,2.183204378835859,0.4657874280378872,1.53,2.5326027870178223,0.025326027870178222
COMPAS,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,2,1.0,0.84,2.6993672692918818,0.46931019957457243,1.62,2.5326027870178223,0.025326027870178222
Bail,XGBoost,label,tlps,100,Baseline,0.0,1.0,1,1.0,0.34,0.8284956567500231,0.4976739687230063,1.24,0.8977699279785156,0.008977699279785156
Bail,XGBoost,label,tlps,100,Baseline,0.0,1.0,2,1.0,0.37,0.7974529258604022,0.503872777025126,1.2899999999999998,5.271738052368164,0.05271738052368164
Bail,XGBoost,label,tlps,100,Baseline,0.0,0.5,1,1.0,0.36,0.86734614155864,0.4992112231405521,1.22,0.5134031772613525,0.005134031772613525
Bail,XGBoost,label,tlps,100,Baseline,0.0,0.5,2,1.0,0.36,0.8287655266657475,0.4990631074106777,1.27,3.6221680641174316,0.036221680641174314
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,1,1.0,0.69,1.6257891492903636,0.4977837041779155,1.57,0.8669588565826416,0.008669588565826416
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,1,1.0,0.76,1.9138194695305535,0.4991348364556651,1.6,0.8669588565826416,0.008669588565826416
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,1,1.0,0.8,2.3195408238830546,0.5017185053235633,1.69,0.8669588565826416,0.008669588565826416
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,1,1.0,0.84,2.736183611396596,0.5037967180375184,1.81,0.8669588565826416,0.008669588565826416
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,1,1.0,0.92,3.270830489979989,0.5026744643986654,2.02,0.8669588565826416,0.008669588565826416
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.69,1.5632792176505765,0.5047108245125764,1.6300000000000001,5.323127269744873,0.053231272697448734
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.72,1.8338655930204815,0.5066528269739733,1.6700000000000002,5.323127269744873,0.053231272697448734
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,2,1.0,0.82,2.1687423200736866,0.5098468848037145,1.87,5.323127269744873,0.053231272697448734
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,2,1.0,0.81,2.51575129261032,0.5119045165041386,1.99,5.323127269744873,0.053231272697448734
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,2,1.0,0.94,2.995247344087395,0.5138967571888786,2.11,5.323127269744873,0.053231272697448734
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,1,1.0,0.69,1.7468189853865308,0.500209128292895,1.5,0.5272021293640137,0.0052720212936401365
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,1,1.0,0.75,2.0306312510160107,0.5033941711379457,1.56,0.5272021293640137,0.0052720212936401365
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,1,1.0,0.84,2.42877908265941,0.5054956305570696,1.68,0.5272021293640137,0.0052720212936401365
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,1,1.0,0.87,2.8135082244772893,0.5076409826857983,1.7900000000000003,0.5272021293640137,0.0052720212936401365
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,1,1.0,0.92,3.7862824365217818,0.5069101009721989,1.98,0.5272021293640137,0.0052720212936401365
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.68,1.6627266160213245,0.5068246549419634,1.61,3.7007548809051514,0.037007548809051515
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.7,1.921928595713566,0.5083861675793832,1.64,3.7007548809051514,0.037007548809051515
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,2,1.0,0.8,2.2388167713843425,0.5113901802302352,1.76,3.7007548809051514,0.037007548809051515
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,2,1.0,0.8,2.5572257218278853,0.5133973165330269,1.8600000000000003,3.7007548809051514,0.037007548809051515
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,2,1.0,0.92,3.0277662399386616,0.5130637563921352,2.06,3.7007548809051514,0.037007548809051515
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,1,1.0,0.62,1.4811874353325012,0.5040751396752743,1.49,1.223290205001831,0.012232902050018311
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,1,1.0,0.76,1.9995596052283136,0.5050158408873149,1.62,1.223290205001831,0.012232902050018311
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,1,1.0,0.82,2.4348399269170824,0.507488413738756,1.75,1.223290205001831,0.012232902050018311
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,1,1.0,0.87,2.7775086367507127,0.5077972531491494,1.83,1.223290205001831,0.012232902050018311
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,1,1.0,0.95,3.1790094692800452,0.5103433667031205,1.8899999999999997,1.223290205001831,0.012232902050018311
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.02,1.0,2,1.0,0.62,1.4236868525747943,0.505105332903913,1.55,6.687646865844727,0.06687646865844726
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.04,1.0,2,1.0,0.76,1.860155705332049,0.5061740554077504,1.75,6.687646865844727,0.06687646865844726
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.06,1.0,2,1.0,0.79,2.2030390307863943,0.5086727286836151,1.87,6.687646865844727,0.06687646865844726
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.08,1.0,2,1.0,0.86,2.567416827105948,0.5085637891390181,1.9500000000000002,6.687646865844727,0.06687646865844726
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.1,1.0,2,1.0,0.91,2.8684346000767427,0.5120987855776807,2.0300000000000002,6.687646865844727,0.06687646865844726
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,1,1.0,0.62,1.5725518868356219,0.5058868352641571,1.43,0.7488222122192383,0.007488222122192383
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,1,1.0,0.7,2.142253186446483,0.5088754481720101,1.57,0.7488222122192383,0.007488222122192383
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,1,1.0,0.79,2.5627061613546847,0.5096982987648456,1.7,0.7488222122192383,0.007488222122192383
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,1,1.0,0.89,2.8882959911515957,0.5119678623042151,1.82,0.7488222122192383,0.007488222122192383
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,1,1.0,0.93,3.60624260599658,0.5123805350293064,1.9100000000000001,0.7488222122192383,0.007488222122192383
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.02,0.5,2,1.0,0.6,1.5146439354066237,0.49931599276179583,1.52,4.245321035385132,0.04245321035385132
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.04,0.5,2,1.0,0.67,1.9684361607599834,0.50085285785072,1.73,4.245321035385132,0.04245321035385132
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.06,0.5,2,1.0,0.78,2.252398284557063,0.5019365394702375,1.7999999999999998,4.245321035385132,0.04245321035385132
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.08,0.5,2,1.0,0.86,2.636795237679869,0.5019900087974302,1.88,4.245321035385132,0.04245321035385132
Bail,XGBoost,label,tlps,100,DiRARTE-X,0.1,0.5,2,1.0,0.89,2.9428608431604504,0.5037582069216189,1.96,4.245321035385132,0.04245321035385132
Bail,XGBoost,label,tlps,100,Baseline,0.0,1.0,1,1.0,0.33,0.9239632406425332,0.489243123472675,1.2999999999999998,0.8513898849487305,0.008513898849487304
Bail,XGBoost,label,tlps,100,Baseline,0.0,1.0,2,1.0,0.34,0.8948337140436871,0.48658125527987894,1.3499999999999999,5.129033803939819,0.05129033803939819
Bail,XGBoost,label,tlps,100,Baseline,0.0,0.5,1,1.0,0.33,0.9497395853000363,0.4867606731743098,1.3099999999999998,0.48491382598876953,0.004849138259887695
Bail,XGBoost,label,tlps,100,Baseline,0.0,0.5,2,1.0,0.35,0.8893815622277775,0.48468243232110175,1.3699999999999999,3.273772716522217,0.03273772716522217
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,1,1.0,0.65,1.8188421568041915,0.4901829657640404,1.62,0.851715087890625,0.00851715087890625
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,1,1.0,0.79,2.2039009175221325,0.4941076343921814,1.6300000000000001,0.851715087890625,0.00851715087890625
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,1,1.0,0.82,2.6010680733756963,0.4942684739527762,1.75,0.851715087890625,0.00851715087890625
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,1,1.0,0.92,2.945805477842957,0.4993270363844788,1.87,0.851715087890625,0.00851715087890625
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,1,1.0,0.91,3.754862576454633,0.503131190626001,1.9000000000000001,0.851715087890625,0.00851715087890625
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,1.0,2,1.0,0.68,1.7620676836497906,0.49245997588351564,1.6800000000000002,5.03978705406189,0.050397870540618894
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,1.0,2,1.0,0.73,2.0173704233037526,0.496086402626296,1.81,5.03978705406189,0.050397870540618894
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,1.0,2,1.0,0.82,2.386872504911276,0.4983587479879953,1.8899999999999997,5.03978705406189,0.050397870540618894
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,1.0,2,1.0,0.89,2.7037659000780865,0.49890027514621565,2.0799999999999996,5.03978705406189,0.050397870540618894
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,1.0,2,1.0,0.91,3.0836232004628656,0.5019796692352082,2.05,5.03978705406189,0.050397870540618894
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,1,1.0,0.64,1.8871890421478685,0.48560519292062154,1.55,0.4975607395172119,0.004975607395172119
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,1,1.0,0.78,2.2873413169904415,0.49003025800045835,1.58,0.4975607395172119,0.004975607395172119
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.5,0.5,1,1.0,0.84,2.7179175157510382,0.49054009205414106,1.7,0.4975607395172119,0.004975607395172119
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.0,0.5,1,1.0,0.9,3.0650356111080153,0.4939340497479882,1.83,0.4975607395172119,0.004975607395172119
Bail,XGBoost,label,tlps,100,DiRARTE-W,3.5,0.5,1,1.0,0.91,3.8258126456720127,0.49819148179033235,1.8499999999999999,0.4975607395172119,0.004975607395172119
Bail,XGBoost,label,tlps,100,DiRARTE-W,1.5,0.5,2,1.0,0.64,1.8073156205423218,0.49243159137484016,1.6700000000000002,3.3331079483032227,0.033331079483032225
Bail,XGBoost,label,tlps,100,DiRARTE-W,2.0,0.5,2,1.0,0.75,2.1289331080041403,0.4957312381614768,1.68,3.3331079483032227,0.033331079483032225
