dataset,estimator,shift_type,cost_type,n_samples,method,parameter,validity (before),validity (after),cost,plausibility,sparsity,time,time per samples
FICO,XGBoost,split,tlps,1033,DiRARTE-X,0.06,0.9980638915779284,0.4985479186834463,5.264956204263606,0.4467038988228812,3.6188166828322013,103.11271905899048,0.09981870189640898
FICO,XGBoost,split,tlps,1033,DiRARTE-X,0.08,0.9835430784123911,0.5411423039690223,6.718351477441121,0.4477828837790685,3.9940944881889764,103.11271905899048,0.09981870189640898
FICO,XGBoost,split,tlps,1033,DiRARTE-X,0.1,0.9448209099709584,0.5537270087124879,8.406553155770196,0.4468053885655302,4.289959016393442,103.11271905899048,0.09981870189640898
FICO,XGBoost,split,tlps,1070,Baseline,0.0,1.0,0.22429906542056074,1.3452866467212932,0.451292481865023,1.8850467289719623,71.47656798362732,0.06680053082581992
FICO,XGBoost,split,tlps,1070,RobX,0.5,0.9990654205607477,0.34205607476635513,8.447969423572424,0.44503972121559926,15.203928905519174,379.1594750881195,0.35435464961506496
FICO,XGBoost,split,tlps,1070,RobX,0.55,0.9953271028037384,0.3850467289719626,9.608339191560757,0.4442397704670726,15.269483568075117,379.1594750881195,0.35435464961506496
FICO,XGBoost,split,tlps,1070,RobX,0.6,0.9934579439252337,0.42710280373831777,10.737668982550469,0.444469404269056,15.323612417685796,379.1594750881195,0.35435464961506496
FICO,XGBoost,split,tlps,1070,RobX,0.65,0.9925233644859813,0.49626168224299066,11.824435446393831,0.4435552498268933,15.286252354048965,379.1594750881195,0.35435464961506496
FICO,XGBoost,split,tlps,1070,RobX,0.7,0.994392523364486,0.5532710280373832,13.07187028585249,0.44292337971838014,15.467105263157897,379.1594750881195,0.35435464961506496
FICO,XGBoost,split,tlps,1070,BetaRobust,0.7,1.0,0.31401869158878504,2.374649019840821,0.4545826907489919,2.414018691588785,179.42665195465088,0.16768845977070176
FICO,XGBoost,split,tlps,1070,BetaRobust,0.75,1.0,0.3205607476635514,2.4988364472449125,0.4547322329338515,2.4766355140186915,179.42665195465088,0.16768845977070176
FICO,XGBoost,split,tlps,1070,BetaRobust,0.8,1.0,0.32242990654205606,2.5747323146314676,0.4545927403896237,2.5214953271028033,179.42665195465088,0.16768845977070176
FICO,XGBoost,split,tlps,1070,BetaRobust,0.85,1.0,0.32149532710280376,2.6459573834331973,0.45441681489281005,2.547663551401869,179.42665195465088,0.16768845977070176
FICO,XGBoost,split,tlps,1070,BetaRobust,0.9,1.0,0.33271028037383177,2.733609731114726,0.4542756225175875,2.584112149532711,179.42665195465088,0.16768845977070176
FICO,XGBoost,split,tlps,1070,DiRARTE-W,1.5,1.0,0.32710280373831774,2.9498359968662418,0.4518958455061025,2.779439252336449,75.29331803321838,0.07036758694693307
FICO,XGBoost,split,tlps,1070,DiRARTE-W,2.0,1.0,0.37570093457943926,3.7382969093419787,0.4535200489863224,3.0747663551401865,75.29331803321838,0.07036758694693307
FICO,XGBoost,split,tlps,1070,DiRARTE-W,2.5,1.0,0.40186915887850466,4.715622069143179,0.45585963312281413,3.3925233644859816,75.29331803321838,0.07036758694693307
FICO,XGBoost,split,tlps,1070,DiRARTE-W,3.0,0.9878504672897196,0.44205607476635517,5.873431051914891,0.45800634986724115,3.6745506149479654,75.29331803321838,0.07036758694693307
FICO,XGBoost,split,tlps,1070,DiRARTE-W,3.5,0.9532710280373832,0.48598130841121495,7.542563206172996,0.45942228732586016,3.9617647058823526,75.29331803321838,0.07036758694693307
FICO,XGBoost,split,tlps,1070,DiRARTE-X,0.02,1.0,0.3280373831775701,2.8925345277244237,0.4536069872882869,2.748598130841121,102.28965377807617,0.09559780726923006
FICO,XGBoost,split,tlps,1070,DiRARTE-X,0.04,0.9990654205607477,0.39158878504672895,3.868501980438048,0.4533469007740371,3.166510757717492,102.28965377807617,0.09559780726923006
FICO,XGBoost,split,tlps,1070,DiRARTE-X,0.06,0.9925233644859813,0.4252336448598131,4.834347437969664,0.4535204753101009,3.4736346516007526,102.28965377807617,0.09559780726923006
FICO,XGBoost,split,tlps,1070,DiRARTE-X,0.08,0.9728971962616823,0.4691588785046729,5.892303345144885,0.45359899740280735,3.767531219980788,102.28965377807617,0.09559780726923006
FICO,XGBoost,split,tlps,1070,DiRARTE-X,0.1,0.9485981308411215,0.4822429906542056,7.026575682186118,0.45391572218816695,3.994088669950739,102.28965377807617,0.09559780726923006
FICO,XGBoost,split,tlps,1054,Baseline,0.0,1.0,0.20113851992409867,1.0942654298533425,0.4559763625590733,1.7533206831119548,69.57967162132263,0.06601486871093229
FICO,XGBoost,split,tlps,1054,RobX,0.5,1.0,0.34629981024667933,6.0404046893657615,0.4399848866082519,14.981024667931688,386.1686761379242,0.3663839432048617
FICO,XGBoost,split,tlps,1054,RobX,0.55,0.9990512333965844,0.40132827324478176,6.994829070181528,0.43891044664655793,15.098765432098766,386.1686761379242,0.3663839432048617
FICO,XGBoost,split,tlps,1054,RobX,0.6,1.0,0.4127134724857685,8.11400758648939,0.4378357598197438,15.253320683111951,386.1686761379242,0.3663839432048617
FICO,XGBoost,split,tlps,1054,RobX,0.65,0.9981024667931688,0.45920303605313095,8.893306760613543,0.43688916638015424,15.214828897338402,386.1686761379242,0.3663839432048617
FICO,XGBoost,split,tlps,1054,RobX,0.7,0.9990512333965844,0.5028462998102466,9.975334523809332,0.43627971293892115,15.337132003798672,386.1686761379242,0.3663839432048617
